Overdrive Name,Overdrive Link,Country,Region,Collection Size,Ebooks,Audiobooks,Magazines
"Berlin, Verbund Öffentlicher Bibliotheken (VÖBB)",https://voebb.overdrive.com,Germany,Germany,115202,90387,20151,4664
Hamilton Public Library,https://hpl.overdrive.com,Canada,Ontario,114978,91379,18893,4703
Pioneer Library System,https://pioneerok.overdrive.com,United States,Oklahoma,114029,81182,28187,4659
Kent District Library,https://kdl.overdrive.com,United States,Michigan,113651,79457,29507,4686
Houston Public Library,https://houstonlibrary.overdrive.com,United States,Texas,110387,72235,33400,4746
Jacksonville Public Library,https://jpl.overdrive.com,United States,Florida,109804,71871,33258,4674
Inglewood Public Library,https://inglewoodpl.overdrive.com,United States,California,107854,7395,95779,4677
Christchurch City Libraries,https://christchurch.overdrive.com,New Zealand,South Island,107059,79127,23257,4674
Fresno County Public Library,https://fresno.overdrive.com,United States,California,104941,65255,34980,4700
Sonoma County Library,https://sonoma.overdrive.com,United States,California,104125,66483,32882,4760
North Carolina Digital Library,https://ncdigital.overdrive.com,United States,North Carolina,103511,78313,25198,0
Central Arkansas Library System,https://cals.overdrive.com,United States,Arkansas,103232,72976,25506,4745
Contra Costa County Library,https://ccc.overdrive.com,United States,California,102416,76859,25556,0
Bridges,https://bridges.overdrive.com,United States,Iowa,102296,74775,22774,4747
Lake County Public Library,https://lakecounty.overdrive.com,United States,Indiana,100889,71736,24441,4710
Digital Library of Illinois,https://dlil.overdrive.com,United States,Illinois,100859,67359,28738,4762
Hawaii State Public Library System,https://hawaii.overdrive.com,United States,Hawaii,100257,73054,22456,4745
Gold Coast Libraries,https://goldcoast.overdrive.com,Australia,Queensland,99876,76377,18832,4667
Westchester Library System,https://westchester.overdrive.com,United States,New York,99512,78608,16142,4761
Arkansas Digital Library Consortium,https://adlc.overdrive.com,United States,Arkansas,99201,71085,23364,4752
San Jose Public Library,https://sanjose.overdrive.com,United States,California,98753,71679,22318,4755
West Virginia Downloadable Entertainment Library Initiative,https://wvdeli.overdrive.com,United States,West Virginia,98252,71823,21665,4761
Ontario Library Service Consortium,https://odmc.overdrive.com,Canada,Ontario,97861,72294,20854,4713
Nicholson Memorial Library System,https://nmls.overdrive.com,United States,Texas,97573,65781,27081,4710
Libraries Southwest Consortium,https://lsw.overdrive.com,United States,Louisiana,96811,78598,18213,0
Alameda County Library,https://aclibrary.overdrive.com,United States,California,95554,69382,21417,4748
Virtual Library of Wyoming,https://virtuallibrary.overdrive.com,United States,Wyoming,95407,68218,22511,4678
The Libraries Consortium,https://tlc.overdrive.com,United Kingdom,England,94756,77161,17595,0
Fort Worth Public Library,https://fwpl.overdrive.com,United States,Texas,93876,60214,30153,3509
Topeka and Shawnee County Public Library,https://tscpl.overdrive.com,United States,Kansas,93772,72900,20872,0
Kenton County Public Library,https://kenton.overdrive.com,United States,Kentucky,93110,65539,22817,4752
Richland Library,https://myrl.overdrive.com,United States,South Carolina,92969,65596,22623,4749
Denver Public Library,https://denver.overdrive.com,United States,Colorado,91785,57508,29563,4712
Broward County Library,https://broward.overdrive.com,United States,Florida,91496,62510,24271,4713
Akron-Summit County Public Library,https://akronlibrary.overdrive.com,United States,Ohio,91475,56713,30051,4707
Ottawa Public Library,https://ottawa.overdrive.com,Canada,Ontario,90609,66691,19171,4746
Pima County Public Library,https://pima.overdrive.com,United States,Arizona,90409,59535,26117,4752
Albuquerque Bernalillo County Library System,https://cabq.overdrive.com,United States,New Mexico,90081,57488,27860,4733
Midwest Collaborative for Library Services,https://mlc.overdrive.com,United States,Michigan,89419,57024,27630,4765
South Australian Public Library Network,https://sapln.overdrive.com,Australia,South Australia,88796,67738,18837,2221
Miami-Dade Public Library System,https://mdpls.overdrive.com,United States,Florida,88045,59674,23619,4752
Rangeview Library District,https://anythinklibraries.overdrive.com,United States,Colorado,87799,59734,23330,4727
The Free Library of Philadelphia,https://freelibrary.overdrive.com,United States,Pennsylvania,87338,63633,18977,4726
Allen County Public Library,https://acpl.overdrive.com,United States,Indiana,86768,69473,17295,0
Bailey Public Library,https://baileylibrary.overdrive.com,United States,Maine,84990,67690,17299,0
Online Media of Northern Illinois Libraries,https://omnilibraries.overdrive.com,United States,Illinois,84866,74708,10158,0
Nassau Digital Doorway,https://nassau.overdrive.com,United States,New York,84463,61236,18466,4761
Buffalo & Erie County Public Library,https://buffalo.overdrive.com,United States,New York,84387,60170,19550,4667
San Bernardino County Library,https://sbcldigital.overdrive.com,United States,California,83900,61943,17234,4717
Knox County Public Library,https://knoxcounty.overdrive.com,United States,Tennessee,83340,61208,22131,0
Naperville Public Library,https://naperville.overdrive.com,United States,Illinois,82830,53297,25294,4238
District of Columbia Public Library,https://dclibrary.overdrive.com,United States,District of Columbia,82681,60186,17812,4681
Jefferson County Library Cooperative,https://jclc.overdrive.com,United States,Alabama,82108,58051,19310,4747
Kansas City Public Library,https://kclibrary.overdrive.com,United States,Missouri,81379,55291,26084,0
Henrico County Public Library,https://henrico.overdrive.com,United States,Virginia,80088,63132,16955,0
Washington Anytime Library,https://anytime.overdrive.com,United States,Washington,79467,52970,21784,4713
St. Joseph County Public Library,https://sjcpl.overdrive.com,United States,Indiana,79162,54315,20124,4722
Chicago Public Library,https://chipublib.overdrive.com,United States,Illinois,79159,53373,21055,4731
Eastern Regional Libraries,https://erl.overdrive.com,Australia,Victoria,78347,62633,12221,3492
Media On Demand,https://mediaondemand.overdrive.com,United States,Illinois,77961,59543,13703,4715
Vancouver Public Library,https://vpl.overdrive.com,Canada,British Columbia,77405,56547,17837,3021
Tulsa City-County Library,https://tulsa.overdrive.com,United States,Oklahoma,77343,51383,21196,4762
Fairfax County Public Library,https://fairfax.overdrive.com,United States,Virginia,76302,47884,23670,4746
Salt Lake City Public Library,https://slcpl.overdrive.com,United States,Utah,76257,47295,24211,4751
Fort Vancouver Regional Library District,https://fortvancouver.overdrive.com,United States,Washington,76016,49627,26388,0
NorthNet Library System,https://northnet.overdrive.com,United States,California,75946,59956,11229,4761
Sunflower eLibrary,https://sunflowerelibrary.overdrive.com,United States,Kansas,75275,65493,9782,0
eMediaLibrary,https://emedialibrary.overdrive.com,United States,Illinois,75172,52028,18392,4752
OK Virtual Library,https://okvirtuallibrary.overdrive.com,United States,Oklahoma,73842,57337,16505,0
Douglas County Libraries,https://dcl.overdrive.com,United States,Colorado,73017,49365,23651,0
Onondaga County Public Library,https://onlib.overdrive.com,United States,New York,72182,48438,19007,4737
West Virginia Reads,https://wvreads.overdrive.com,United States,West Virginia,71134,54808,11595,4731
Libraries Tasmania,https://librariestasmania.overdrive.com,Australia,Tasmania,71026,56515,9789,4722
St. Charles City-County Library District,https://stcharles.overdrive.com,United States,Missouri,70908,49225,16921,4760
Johnson County Library and Olathe Public Library,https://jocolibrary.overdrive.com,United States,Kansas,70808,44979,21143,4683
Genesee District Library,https://thegdl.overdrive.com,United States,Michigan,70798,42858,23230,4710
Memphis Public Libraries,https://memphis.overdrive.com,United States,Tennessee,70335,55173,10460,4702
Arlington Public Library,https://arlington.overdrive.com,United States,Virginia,70317,43539,22328,4448
Halifax Public Libraries,https://halifax.overdrive.com,Canada,Nova Scotia,70104,51702,13703,4699
Plano Public Library System,https://plano.overdrive.com,United States,Texas,70098,50268,15190,4639
Kitsap Regional Library,https://krl.overdrive.com,United States,Washington,69941,49286,15938,4716
Mississauga Library,https://mississauga.overdrive.com,Canada,Ontario,69811,56962,8401,4445
Alhambra Civic Center Library,https://alhambralibrary.overdrive.com,United States,California,69242,9047,55481,4714
Upper Hudson Library System,https://uhls.overdrive.com,United States,New York,68869,44912,19229,4728
Jefferson Parish Library,https://jeff.overdrive.com,United States,Louisiana,68832,45029,19101,4701
Prince George's County Memorial Library System,https://pgcmls.overdrive.com,United States,Maryland,68311,43003,20559,4745
Daniel Boone Regional Library,https://dbrl.overdrive.com,United States,Missouri,68237,46516,16974,4745
Peninsula Library System,https://pls.overdrive.com,United States,California,68208,47227,16220,4761
Nebraska OverDrive Libraries,https://nebraska.overdrive.com,United States,Nebraska,66736,38358,23753,4625
Wellington City Libraries,https://wcl.overdrive.com,New Zealand,North Island,66614,46081,16485,4048
Oregon Digital Library Consortium,https://library2go.overdrive.com,United States,Oregon,65449,44936,20513,0
Monmouth County Library,https://monmouth.overdrive.com,United States,New Jersey,65417,49274,11416,4725
Download Destination,https://tln.overdrive.com,United States,Michigan,65408,46200,14522,4686
Arrowhead Library System,https://arrowhead.overdrive.com,United States,Minnesota,65326,47543,13031,4752
Montgomery County Public Libraries,https://mcplmd.overdrive.com,United States,Maryland,65163,42193,18242,4727
Fulton County Library System,https://fulcolibrary.overdrive.com,United States,Georgia,65108,40865,19562,4679
Lakeland Digital Library,https://lakeland.overdrive.com,United States,Michigan,64461,50491,9253,4717
MARINet,https://marinet.overdrive.com,United States,California,63750,40700,18296,4754
Omaha Public Library,https://omaha.overdrive.com,United States,Nebraska,63707,40741,18257,4708
Oakland Public Library,https://oakland.overdrive.com,United States,California,63684,45177,13755,4751
Greenwich Library,https://greenwich.overdrive.com,United States,Connecticut,63640,43328,15644,4667
Okanagan Regional Library,https://orl.overdrive.com,Canada,British Columbia,63478,42565,16216,4697
Western Australia Public Libraries,https://wapldmc.overdrive.com,Australia,Western Australia,63366,54207,4811,4348
Burnaby Public Library,https://burnaby.overdrive.com,Canada,British Columbia,62905,44871,13362,4672
Missouri Libraries 2Go,https://molib2go.overdrive.com,United States,Missouri,62842,46748,11354,4740
Green Gold Consortium,https://greengoldlibraries.overdrive.com,United States,Louisiana,61987,43352,13889,4746
Rochester Public Library,https://rochester.overdrive.com,United States,Minnesota,61858,38288,18880,4690
Southeastern Libraries Cooperating,https://selco.overdrive.com,United States,Minnesota,61016,49207,7047,4762
Front Range Downloadable Library,https://frontrange.overdrive.com,United States,Colorado,60563,39044,16773,4746
Houston Area Digital Media Catalog,https://hadc.overdrive.com,United States,Texas,60556,42870,17686,0
Deschutes Public Library,https://dpls.overdrive.com,United States,Oregon,60437,37428,18247,4761
Jefferson County Public Library,https://jefferson.overdrive.com,United States,Colorado,60169,55446,0,4722
Spartanburg County Public Libraries,https://spartanburglibraries.overdrive.com,United States,South Carolina,59681,36175,18745,4760
Marmot Library Network,https://marmot.overdrive.com,United States,Colorado,59492,37743,17039,4710
Monroe County Library System,https://libraryweb.overdrive.com,United States,New York,59338,46249,13088,0
Mideastern Michigan Library Cooperative,https://mmlc.overdrive.com,United States,Michigan,58962,55571,3391,0
Lincoln City Libraries,https://lincoln.overdrive.com,United States,Nebraska,58588,33187,25401,0
Brisbane City Council Library Services,https://brisbane.overdrive.com,Australia,Queensland,57643,40843,12070,4730
Grand Rapids Public Library,https://grpl.overdrive.com,United States,Michigan,57529,37410,15410,4708
